Moderate Positive Skew,Highly Positive Skew,Moderate Negative Skew,Highly Negative Skew
0.8999903238341513,2.8950737861215154,11.1807475749096,9.027484717896854
1.113553800140345,2.9623848832717643,10.842938042093646,9.00976197446008
1.1568300607658637,2.9663775275342577,10.817933754084255,9.006134118699734
1.264130882866584,3.000323728370847,10.764569729078953,9.000125381390607
1.3239143362793078,3.012108870896731,10.753116852077191,8.98129613362068
1.342576931917788,3.0181375299687616,10.720679202824453,8.977753897125368
1.3597272849594852,3.0267710935574854,10.718357516976424,8.969744344644525
1.4046958922252424,3.0289704251622673,10.667741007813538,8.962334989844273
1.4099875827197996,3.0454706081319496,10.658860774950991,8.957279460930199
1.4208345030118648,3.0475248767895513,10.64346529530933,8.95089220699619
1.5177805683490275,3.0576540686225018,10.640101776043412,8.95024861359462
1.526018160797082,3.057836176584032,10.582227423175887,8.943997921142124
1.5747091265827882,3.0583799546140398,10.569895805363455,8.940052720034915
1.5794047520093435,3.0617711049007856,10.551972858970215,8.937017069148048
1.601534174692142,3.0667311581508248,10.542654699506862,8.925590928897273
1.6326113121191326,3.0752167838551308,10.537210363484235,8.925331873459042
1.641438092074265,3.076040338246706,10.508671304288846,8.923691343700238
1.661322411309167,3.0763690760291644,10.501976782255996,8.92280342590904
1.6640768438953932,3.0810761104035174,10.499540078080443,8.919253815795464
1.6869335119108704,3.105390600391418,10.492284763751025,8.91901369984846
1.6912269489439415,3.10918332829004,10.492160781342523,8.913085375465228
1.7276664656641532,3.1128266680573202,10.406323679240533,8.912408150238821
1.7332610654093905,3.1179011375799837,10.397653884934908,8.91142266852663
1.7437044084067796,3.1269741006631397,10.379127926193775,8.91076612743722
1.7455405415695484,3.129940609695871,10.372437783923393,8.90891619947804
1.7622650539645268,3.1324821326871293,10.372393589051443,8.906953914846891
1.762504763729603,3.136414992240154,10.36673968592147,8.90410563615683
1.7660443506715455,3.1470688235998416,10.352226859192855,8.89991278821731
1.7919113697686084,3.1499936975575538,10.325226938376106,8.898993581256157
1.8032028861022216,3.152385984206741,10.312124764484322,8.89495907680935
1.8304323781602054,3.152392074139125,10.29992902053854,8.894464163363025
1.8435034333252052,3.1620603903818543,10.261102899117395,8.892172874242226
1.8451537132567108,3.163162356658031,10.259636028806558,8.888753559749812
1.8475649206864477,3.1637824838124504,10.25456719744845,8.882320383520167
1.854189076717593,3.165119770443613,10.2468070313884,8.878490521512727
1.8639289223586384,3.1698783636230146,10.235652022686022,8.872798173425187
1.8874325770846383,3.173849420705587,10.235199383232363,8.871883820306824
1.892959602829623,3.1826607849176454,10.235061055754908,8.867901224498906
1.8959002690190947,3.18487071261749,10.228588942178678,8.863936275893952
1.8978716909462308,3.1903525311255665,10.201652643208005,8.863318449657028
1.9058525916020237,3.199429723234135,10.185930613555877,8.857124236523415
1.9093217156187645,3.2012884247445905,10.178675270949762,8.854922682286935
1.9103560717729464,3.2067389344260144,10.167927671847274,8.848115017174258
1.9203548234642254,3.2112025808065674,10.158122248093099,8.841322477422825
1.9212032133067174,3.213194897535815,10.155212173894903,8.84091107676702
1.9308465927015739,3.2155915504357586,10.145506099705809,8.840339719862529
1.9310084124936648,3.218616773010935,10.144779896182223,8.838809545220553
1.9316801757368318,3.219144080339391,10.13234924830424,8.833646718663829
1.9365801639539377,3.2224209938749766,10.110707624939105,8.829166648869341
1.9375990350157766,3.225109900802077,10.110383647256054,8.826309999312063
1.9427013040632661,3.225601970555342,10.096410623241711,8.815395369760775
1.9547396729822428,3.2258016300057575,10.061958626413926,8.814009132394105
1.9608145415898592,3.22887918823153,10.060357412671902,8.812273842210386
1.9724774335640527,3.231322675305891,10.06015255850152,8.811852991332163
1.9817795200568922,3.2315177032680644,10.04742572699615,8.804421364903867
1.9839509629594216,3.2327673618317085,10.021366817905914,8.804006368437385
1.994516097624496,3.2365311243487147,10.016859717287424,8.801878848368425
1.9981121357386056,3.2371015032645016,10.01120916119613,8.800676582539904
